graphname,clust_min,clust_max,clust_mean,clust_stdev,clust_const,deg_min,deg_max,deg_mean,deg_stdev,deg_const,percent_pos,weight_min,weight_max,weight_mean,weight_stdev,weight_const,chromatic,disconnected,assortativity,avg_neighbor_deg_min,avg_neighbor_deg_max,avg_neighbor_deg_mean,avg_neighbor_deg_stdev,avg_neighbor_deg_const,avg_deg_conn_min,avg_deg_conn_max,avg_deg_conn_mean,avg_deg_conn_stdev,avg_deg_conn_const,core_min,core_max,core_mean,core_stdev,core_const,mis,clust_log_kurtosis,deg_log_kurtosis,weight_log_kurtosis,avg_neighbor_deg_log_kurtosis,avg_deg_conn_log_kurtosis,core_log_kurtosis,clust_log_abs_skew,deg_log_abs_skew,weight_log_abs_skew,avg_neighbor_deg_log_abs_skew,avg_deg_conn_log_abs_skew,core_log_abs_skew,clust_skew_positive,deg_skew_positive,weight_skew_positive,avg_neighbor_deg_skew_positive,avg_deg_conn_skew_positive,core_skew_positive,log_n,log_m,log_norm_ev1,log_norm_ev2,log_ev_ratio,clust_time,degree_time,ppos_time,weight_time,ev_time,chromatic_time,disconnected_time,assortativity_time,avg_neighbor_deg_time,avg_deg_conn_time,core_time,mis_time
p5000_1.zip,0.497097,0.498212,0.497822,0.000226788,0,0.474,1,0.497581,0.0100845,0,0.499906,-0.914478,1,6.7572e-07,0.00953739,0,0.0953809,0,0.999347,0.497436,0.498166,0.497785,0.000102861,0,0.49748,0.497998,0.497778,5.0374e-05,0,0.474,0.4774,0.477395,8.66731e-05,0,0.00239952,1.75601,7.11777,7.40462,1.38325,2.56237,6.80851,0.618384,3.24682,0.416016,0.040904,0.932807,3.33271,0,1,0,1,0,0,8.51739,15.6434,5.34493,4.72208,0.622856,0.544651,9.5e-05,0.025831,0.200646,0.850785,0.065984,56.0886,0.250014,0.041051,0.233973,0.048346,0.00051
p4000_5.zip,0.99499,0.995001,0.994996,2.48336e-06,0,0.99075,1,0.994995,0.0011247,0,0.499758,-1,0.74728,1.8659e-06,0.00568099,0,0.497376,0,0.999999,0.994992,0.995003,0.994997,1.38209e-06,0,0.994994,0.994999,0.994997,1.15964e-06,0,0.99075,0.99075,0.99075,0,1,0.000749813,1.43829,1.42357,7.93207,1.43228,1.24374,0,0.154084,0.181913,1.25854,0.283564,0.229977,0,1,0,1,1,0,1,8.2943,15.8902,5.77923,2.84938,2.92985,1.38442,6.9e-05,0.028598,0.251116,1.08442,0.139032,111.217,0.312864,0.062895,0.281547,0.057524,0.000357
p4000_4.zip,0.99503,0.995041,0.995034,2.3483e-06,0,0.9905,1,0.995034,0.00108805,0,0.499891,-1,0.968848,-8.18864e-07,0.00774706,0,0.495126,0,0.999999,0.995032,0.995042,0.995036,1.35021e-06,0,0.995033,0.99504,0.995036,1.38999e-06,0,0.9905,0.9905,0.9905,0,1,0.000499875,1.65143,1.41505,7.91931,1.4061,1.46655,0,0.563967,0.178283,0.648339,0.26064,0.408545,0,1,0,0,1,1,1,8.2943,15.8902,5.18509,4.11563,1.06945,1.39188,0.00819,0.020713,0.256276,1.09347,0.125737,110.935,0.322395,0.050713,0.297841,0.049353,0.000365
p4000_3.zip,0.795917,0.796337,0.796089,8.54575e-05,0,0.7725,1,0.796087,0.00705869,0,0.500008,-1,0.855935,-1.49782e-06,0.0081018,0,0.195701,0,0.999909,0.795924,0.796304,0.796149,4.95043e-05,0,0.796013,0.796219,0.796146,2.49211e-05,0,0.7725,0.7775,0.777494,0.000141312,0,0.00149963,1.57268,5.1757,7.66901,1.40014,2.52831,6.78458,0.377167,1.94383,0.721734,0.0400954,1.06333,3.36976,1,1,0,1,0,0,8.2943,15.6672,5.46871,3.62183,1.84687,0.906265,6.8e-05,0.026514,0.215764,0.864491,0.078496,71.9196,0.274802,0.037491,0.232718,0.046736,0.000382
p4000_2.zip,0.795928,0.796231,0.796065,8.62537e-05,0,0.77375,1,0.796066,0.00723836,0,0.500206,-1,0.972044,-8.51018e-07,0.00926441,0,0.196451,0,0.999904,0.795912,0.796311,0.796131,5.15474e-05,0,0.796015,0.796218,0.796129,2.20163e-05,0,0.77375,0.77675,0.776747,8.22788e-05,0,0.00149963,1.12012,5.07784,7.63359,1.37325,2.30175,6.90086,0.152218,1.88211,0.122533,0.078437,0.611059,3.44944,1,1,1,1,0,0,8.2943,15.6671,5.2158,4.38817,0.827633,0.903551,7.5e-05,0.018187,0.224579,0.869478,0.074741,71.9045,0.283109,0.037398,0.23662,0.046498,0.000386
p4000_1.zip,0.497241,0.498469,0.497763,0.000335996,0,0.4685,1,0.49753,0.0112319,0,0.499986,-0.953223,1,6.1924e-07,0.0105849,0,0.0987253,0,0.999348,0.497402,0.498218,0.497784,0.000123961,0,0.497404,0.498098,0.497779,6.95485e-05,0,0.4685,0.47525,0.475237,0.000207349,0,0.00299925,1.13763,6.91059,7.16685,1.3609,2.45003,6.30155,0.104182,3.151,0.487048,0.0255027,0.383621,3.11752,1,1,1,0,0,0,8.2943,15.1971,5.29811,4.81693,0.481178,0.357253,7.5e-05,0.014325,0.127636,0.549302,0.042551,28.5405,0.159132,0.029569,0.144993,0.032054,0.000398
p3000_5.zip,0.995035,0.995049,0.995041,3.4419e-06,0,0.990333,1,0.99504,0.00130823,0,0.499959,-1,0.848055,-1.10701e-06,0.00832127,0,0.500833,0,0.999998,0.995036,0.995049,0.995042,1.90085e-06,0,0.995039,0.995045,0.995042,1.72017e-06,0,0.990333,0.990667,0.990667,6.08378e-06,0,0.000666445,1.33974,1.37851,7.66396,1.41792,1.07859,8.00637,0.460795,0.23131,1.05207,0.296594,0.18034,4.02095,1,0,0,1,0,0,8.0067,15.3149,5.16349,4.1997,0.963789,0.806523,5.7e-05,0.015153,0.163716,0.610868,0.074281,47.7237,0.224871,0.031102,0.161901,0.031007,0.000266
p3000_4.zip,0.994976,0.994989,0.994983,3.65671e-06,0,0.99,1,0.994983,0.00130657,0,0.499902,-1,0.984659,1.97307e-06,0.00872651,0,0.500833,0,0.999998,0.994979,0.994993,0.994985,1.91605e-06,0,0.994982,0.994993,0.994985,2.26292e-06,0,0.99,0.99,0.99,0,1,0.000666445,1.15581,1.43915,7.67917,1.47546,1.83131,0,0.334843,0.233575,0.501886,0.328992,0.749061,0,0,0,0,1,1,1,8.0067,15.3149,5.39104,3.49145,1.8996,0.779964,5.3e-05,0.015012,0.171603,0.606495,0.071906,47.4433,0.233651,0.031256,0.159179,0.031749,0.000256
p3000_3.zip,0.795898,0.796523,0.796194,0.000147582,0,0.768,1,0.796168,0.00816962,0,0.49977,-0.971496,1,8.27003e-07,0.00921217,0,0.204932,0,0.99989,0.795986,0.796502,0.796252,6.70658e-05,0,0.796092,0.796383,0.796249,3.30012e-05,0,0.768,0.774,0.773993,0.000171535,0,0.00199933,1.27497,4.88387,7.37863,1.4236,2.45716,6.80445,0.19445,1.81844,0.589217,0.0222933,0.61925,3.40532,1,1,1,1,0,0,8.0067,15.092,5.11958,4.54974,0.56985,0.515057,5.8e-05,0.01368,0.114305,0.485895,0.04563,30.5287,0.145018,0.028143,0.129595,0.02103,0.000285
p3000_2.zip,0.79561,0.796232,0.79598,0.000162027,0,0.772,1,0.79591,0.0082943,0,0.500003,-1,0.936234,2.86185e-06,0.00948817,0,0.203932,0,0.999887,0.795753,0.79622,0.795997,6.72719e-05,0,0.795842,0.79612,0.795994,3.57637e-05,0,0.772,0.773667,0.773665,4.82596e-05,0,0.00166611,1.32949,4.82857,7.3812,1.39434,2.08845,6.77133,0.479386,1.77725,1.00272,0.0615834,0.0105917,3.3932,0,1,1,0,0,0,8.0067,15.0917,5.61225,3.11896,2.49329,0.509491,5.8e-05,0.005647,0.113905,0.493633,0.037494,30.4725,0.140397,0.032194,0.129518,0.021295,0.000298
p3000_1.zip,0.497537,0.498882,0.498343,0.000386422,0,0.465667,1,0.497929,0.0130564,0,0.499987,-1,0.966104,1.00894e-06,0.0139503,0,0.101633,0,0.999375,0.497657,0.498875,0.498271,0.000171533,0,0.497761,0.49848,0.498268,8.27507e-05,0,0.465667,0.472333,0.472328,0.000146957,0,0.00366544,1.20876,6.59362,6.83929,1.3876,2.49601,7.37532,0.504328,2.99298,0.499654,0.00570071,0.799492,3.67222,0,1,1,0,0,0,8.0067,14.6226,5.20576,4.85103,0.354725,0.205932,5.7e-05,0.011557,0.081196,0.301977,0.028765,11.9393,0.110516,0.007539,0.085084,0.017275,0.000291
imgseg_97017.zip,0,1,0.370811,0.390837,0,0.000190367,0.105654,0.000736252,0.00282753,0,0.988091,-0.00983476,1,0.00313739,0.0158583,0,0.000951656,0,-0.186613,0.000380735,0.105654,0.0242789,0.0260992,0,0.000595404,0.0481122,0.00450283,0.006572,0,0.000190367,0.00076147,0.000413091,0.000170513,0,0.685573,1.04687,6.55424,7.76386,1.63626,3.51325,0.977307,0.475652,3.21301,3.80339,0.837434,1.81202,0.112159,1,1,1,1,1,0,8.56674,9.22621,14.0528,12.6526,1.40028,0.000173,9.1e-05,1.4e-05,0.000171,0.001551,0.000602,0.000342,0.000253,0.000179,0.000215,0.000381,0.00045
imgseg_95006.zip,0,1,0.482862,0.371025,0,5.79576e-05,0.100035,0.000262443,0.000954511,0,0.999462,-0.00853972,1,0.0120783,0.0204261,0,0.000289771,0,-0.0501153,0.000115915,0.100035,0.00734582,0.0178905,0,0.000196717,0.0326607,0.00138994,0.00361193,0,5.79576e-05,0.00023183,0.000152389,4.01366e-05,0,0.537873,0.976366,8.8889,6.60642,2.99028,4.19009,1.52015,0.195757,4.33461,3.10277,1.58452,2.15611,0.749985,1,1,1,1,1,0,9.75586,10.573,13.5594,10.8871,2.67223,0.000512,0.000313,5e-05,0.000675,0.018492,0.010616,0.001546,0.000942,0.000797,0.000838,0.001569,0.001715
imgseg_90076.zip,0,1,0.271327,0.316099,0,0.000329707,0.195846,0.00128862,0.00480446,0,0.999494,-0.00203486,1,0.00623119,0.0274324,0,0.00164799,0,-0.153242,0.000659413,0.195846,0.0485136,0.0642529,0,0.0011079,0.11536,0.00676793,0.0164584,0,0.000329707,0.00131883,0.000721138,0.000286921,0,0.699407,1.30898,6.90888,6.28439,1.49455,3.65311,0.908921,0.658383,3.36967,3.0492,0.857169,1.92003,0.284622,1,1,1,1,1,0,8.01764,8.68761,13.926,11.9745,1.95156,0.000105,5.9e-05,8e-06,9.4e-05,0.000722,0.00038,0.00018,0.000132,8.8e-05,0.000125,0.000205,0.000249
imgseg_87065.zip,0,1,0.385968,0.3282,0,5.88062e-05,0.0160541,0.000256146,0.000417019,0,0.993115,-0.0351663,1,0.0102934,0.0167167,0,0.000294014,0,-0.121835,0.000117612,0.0160541,0.00146466,0.0019023,0,0.000218423,0.00340695,0.000468897,0.000381265,0,5.88062e-05,0.000235225,0.000145439,4.22572e-05,0,0.606727,1.16665,5.83356,6.17654,3.26058,3.77664,1.27909,0.412021,2.67148,2.71998,1.62071,1.93006,0.650922,1,1,1,1,1,0,9.74132,10.5197,13.2615,10.6134,2.64813,0.000514,0.000312,5.7e-05,0.000625,0.013513,0.002553,0.00146,0.000903,0.000784,0.000796,0.009645,0.001675
imgseg_80099.zip,0,1,0.298611,0.435622,0,0.000874126,0.545455,0.00259718,0.0170431,0,0.977072,-0.0106675,1,0.0281913,0.0537298,0,0.00436681,0,-0.296338,0.00174825,0.545455,0.259151,0.22807,0,0.00224555,0.37698,0.0490671,0.0736597,0,0.000874126,0.00262238,0.00140242,0.000656467,0,0.842795,1.04747,6.80452,5.11109,0.830521,2.82505,1.16098,0.619502,3.38964,2.48851,0.268309,1.51723,0.583651,1,1,1,1,1,1,7.04316,7.43897,12.9882,10.7401,2.24812,5.1e-05,2e-05,2e-06,2.3e-05,0.000241,0.000115,4.2e-05,3.6e-05,3.1e-05,4e-05,6.1e-05,7.8e-05
imgseg_71046.zip,0,1,0.602646,0.389508,0,0.000182715,0.329253,0.000684397,0.00535184,0,0.985661,-0.0676069,1,0.0147724,0.0245494,0,0.000913409,0,-0.181045,0.00036543,0.329253,0.089376,0.103684,0,0.000609997,0.187263,0.014062,0.0267826,0,0.000182715,0.000730861,0.000384656,0.000152183,0,0.696383,1.01002,7.9648,5.88147,1.46039,3.51002,1.10859,0.405784,3.95097,2.66958,0.77495,1.82008,0.0926052,0,1,1,1,1,1,8.60776,9.23523,13.8369,10.8218,3.01511,0.00021,9.7e-05,1.6e-05,0.000171,0.001395,0.000642,0.000345,0.000258,0.000191,0.000217,0.000399,0.000471
imgseg_66039.zip,0,1,0.466552,0.427762,0,0.000107458,0.311734,0.000376303,0.00384347,0,0.93434,-0.0512882,1,0.00614154,0.0165878,0,0.00053723,0,-0.179402,0.000214915,0.311734,0.0867884,0.101041,0,0.000287257,0.160085,0.0091367,0.0224358,0,0.000107458,0.00042983,0.000212652,9.0435e-05,0,0.708499,0.83178,8.52364,7.10435,1.43782,3.58017,1.0658,0.102026,4.22304,3.35293,0.770083,1.8635,0.213237,1,1,1,1,1,1,9.13852,9.69867,14.0217,11.4311,2.5906,0.008439,0.000167,2.2e-05,0.000208,0.002594,0.001068,0.000561,0.000349,0.000341,0.000363,0.000682,0.000794
imgseg_65132.zip,0,1,0.416589,0.379108,0,0.000137212,0.0611965,0.000522606,0.00170352,0,0.996542,-0.0143539,1,0.0102797,0.0223064,0,0.000685965,0,-0.173991,0.000274424,0.0611965,0.0124193,0.0156376,0,0.000476713,0.026459,0.00215949,0.00317167,0,0.000137212,0.000548847,0.000293568,0.000115995,0,0.707779,1.00449,6.35628,6.02176,1.92033,3.8633,1.02517,0.341341,3.09211,2.77896,1.055,1.98084,0.0687085,1,1,1,1,1,0,8.89412,9.53828,13.6489,11.3059,2.34296,0.000219,0.000128,1.9e-05,0.000202,0.010171,0.000879,0.000484,0.000304,0.000257,0.000298,0.000541,0.000649
imgseg_65074.zip,0,1,0.449493,0.323999,0,0.0001207,0.0353651,0.00053827,0.00116144,0,0.9895,-0.334393,1,0.0075998,0.0203296,0,0.000603427,0,-0.127008,0.0002414,0.0353651,0.00548532,0.00743636,0,0.000394287,0.0195479,0.00146237,0.00233056,0,0.0001207,0.0004828,0.000313695,8.12244e-05,0,0.562274,1.16056,6.05062,6.63018,2.16242,3.92261,1.51728,0.467306,2.96078,3.13744,1.15989,2.02996,0.853595,1,1,1,1,1,0,9.02232,9.82423,13.1132,10.8958,2.2174,0.000271,0.00015,2.6e-05,0.000314,0.002661,0.001072,0.000673,0.000437,0.000356,0.000395,0.00071,0.008895
imgseg_61060.zip,0,1,0.521111,0.374146,0,0.000117606,0.136658,0.000512159,0.00199745,0,0.997516,-0.00551038,1,0.00631545,0.0146387,0,0.000587959,0,-0.096262,0.000235211,0.136658,0.0135489,0.0205926,0,0.000501882,0.0272863,0.00262433,0.00390176,0,0.000117606,0.000470422,0.000293392,8.33137e-05,0,0.614887,0.922594,7.88567,7.67588,2.74085,3.22718,1.31639,0.0246383,3.80154,3.66556,1.38217,1.66316,0.474642,0,1,1,1,1,0,9.04829,9.82644,13.9765,11.8796,2.09687,0.000268,0.008282,2.8e-05,0.000316,0.002687,0.001063,0.000682,0.000435,0.000353,0.000393,0.000733,0.000795
imgseg_56028.zip,0,1,0.387302,0.326678,0,9.49758e-05,0.0499573,0.000378171,0.00130188,0,0.977771,-0.102837,1,0.00964858,0.0210848,0,0.000474834,0,-0.181074,0.000189952,0.0499573,0.00932303,0.0105592,0,0.000348008,0.0182776,0.0014696,0.00208881,0,9.49758e-05,0.000379903,0.000212113,8.10776e-05,0,0.679487,1.10577,6.41262,6.53956,1.79951,3.83194,1.02091,0.300861,3.129,3.02611,0.964408,1.94657,0.237772,1,1,1,1,1,0,9.26198,9.95056,13.6236,10.7274,2.89617,0.000324,0.000187,0.008155,0.000349,0.003067,0.001308,0.000754,0.000478,0.000417,0.000455,0.000833,0.009121
imgseg_55075.zip,0,1,0.378748,0.378326,0,0.000220022,0.172937,0.000717467,0.00435583,0,0.900162,-0.378983,1,0.0085496,0.0257094,0,0.00109987,0,-0.267192,0.000440044,0.172937,0.0632704,0.0591467,0,0.000524022,0.1029,0.00769846,0.0149674,0,0.000220022,0.000880088,0.00039634,0.000187279,0,0.799824,1.03172,6.83043,6.12723,1.16031,3.51636,0.945737,0.3903,3.38869,2.82225,0.532201,1.83642,0.348109,1,1,1,1,1,1,8.422,8.91086,13.7308,11.3559,2.37488,0.00016,8.6e-05,1e-05,9.5e-05,0.013283,0.000518,0.000213,0.000156,0.000153,0.000161,0.000297,0.000377
imgseg_54005.zip,0,1,0.392222,0.403474,0,0.000101647,0.182151,0.000358362,0.00223873,0,0.953702,-0.259121,1,0.0182412,0.0352099,0,0.000508182,0,-0.118205,0.000203293,0.182151,0.0327422,0.0523296,0,0.000348957,0.0597982,0.00342463,0.00700806,0,0.000101647,0.000406587,0.000197787,8.7255e-05,0,0.746214,0.923703,8.40959,5.32124,1.9808,3.94311,1.01456,0.290385,4.09028,2.50253,1.13793,2.0189,0.228135,1,1,1,1,1,1,9.19411,9.761,14.1169,11.146,2.97094,0.000287,0.000176,2.3e-05,0.000291,0.014852,0.001252,0.000597,0.000428,0.000365,0.000383,0.000714,0.00092
imgseg_48055.zip,0,1,0.270159,0.347656,0,9.34492e-05,0.113915,0.000369169,0.00166932,0,0.982591,-0.0194571,1,0.00234594,0.0123748,0,0.000467202,0,-0.0947853,0.000186898,0.113915,0.0222055,0.037639,0,0.000244303,0.065004,0.00202039,0.00725612,0,9.34492e-05,0.000373797,0.000208623,8.06926e-05,0,0.645393,1.3493,8.11168,8.32488,1.64708,4.26556,0.989188,0.734697,3.98869,4.11822,0.988884,2.21245,0.272877,1,1,1,1,1,0,9.27819,9.95887,14.2631,12.3647,1.89837,0.00034,0.000188,2.8e-05,0.000338,0.011678,0.001365,0.000758,0.000472,0.000432,0.000455,0.000847,0.000971
imgseg_45077.zip,0,1,0.544259,0.42427,0,0.000121581,0.188571,0.000434149,0.0028486,0,0.998979,-0.000634574,1,0.0041303,0.0127008,0,0.000607829,0,-0.14953,0.000243161,0.188571,0.0456384,0.0589235,0,0.00035457,0.0927823,0.00483959,0.0116485,0,0.000121581,0.000486322,0.000238668,0.000102694,0,0.754923,0.835783,7.97708,8.10328,1.4503,3.90839,1.07968,0.107797,3.94037,3.88151,0.794514,2.02377,0.248292,0,1,1,1,1,1,9.01506,9.59472,14.5447,12.2957,2.24899,0.000266,0.000152,1.9e-05,0.000193,0.002298,0.00095,0.000508,0.008411,0.000313,0.000323,0.000602,0.000715
imgseg_43083.zip,0,1,0.358164,0.338502,0,0.000210438,0.622054,0.000752493,0.00905388,0,0.890798,-0.748174,1,0.00861057,0.029855,0,0.00105197,0,-0.215413,0.000315657,0.622054,0.254803,0.256511,0,0.000561333,0.478775,0.0398506,0.0774656,0,0.000210438,0.000841751,0.000421849,0.00019101,0,0.724805,1.21533,8.44818,5.77726,0.946468,3.28467,0.993349,0.548303,4.23408,2.39815,0.387326,1.73487,0.193686,1,1,1,1,1,1,8.46653,9.04759,14.3091,11.6418,2.66723,0.008326,8.1e-05,1.2e-05,0.000135,0.000935,0.000525,0.000282,0.000211,0.000155,0.000182,0.000319,0.000395
imgseg_43070.zip,0,1,0.464903,0.361489,0,0.000284333,0.242821,0.00115107,0.00504356,0,0.940037,-0.206453,1,0.0113656,0.0260936,0,0.00142126,0,-0.128355,0.0004265,0.242821,0.0458776,0.062786,0,0.00122623,0.101079,0.00950883,0.0156532,0,0.000284333,0.00113733,0.000650297,0.000240935,0,0.664298,0.981518,7.42608,5.89894,1.83875,3.27602,1.11786,0.0466376,3.66832,2.63576,0.992021,1.71475,0.155806,1,1,1,1,1,0,8.16565,8.8708,13.046,10.9653,2.08077,0.000126,6.1e-05,1e-05,0.000105,0.000875,0.000407,0.000236,0.000148,0.000111,0.000151,0.000248,0.000282
