fname,n,m,comments
be50.8.zip,51,187,NAME: be50.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be50.9.zip,51,172,NAME: be50.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.1.zip,501,12872,NAME: be500.1 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.10.zip,501,12908,NAME: be500.10 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.2.zip,501,12778,NAME: be500.2 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.3.zip,501,13022,NAME: be500.3 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.4.zip,501,12780,NAME: be500.4 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.5.zip,501,12830,NAME: be500.5 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.6.zip,501,12818,NAME: be500.6 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.7.zip,501,12907,NAME: be500.7 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.8.zip,501,12776,NAME: be500.8 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
be500.9.zip,501,12858,NAME: be500.9 || COMMENT: Beasley instances from ORLIB. Converted to a MAX-CUT problem.
culberson1.zip,4456,19594,"NAME: Culberson graph. Specifications given below. Weights computed via the normal distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 17405 || No hidden coloring || Probability: 0.746134 || girth/degree-limited graph, girth 7, delta 1485, max 1567 || Degree Information: || Min:6 Avg:8.794434 Max:15 Std:1.064114 || No verification required. || Creation Date: Mon Apr 11 21:15:07 2016 || Weight distribution parameters: mu=2.76160142657; sigma=27.0316029875; seed=15767. || TYPE: Random Graphs"
culberson10.zip,4457,11517,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 17642 || No hidden coloring || Probability: 0.417278 || girth/degree-limited graph, girth 9, delta 1552, max 3846 || Degree Information: || Min:3 Avg:5.168050 Max:11 Std:1.081504 || No verification required. || Creation Date: Mon Apr 11 19:48:08 2016 || Weight distribution parameters: a=-10.0; b=21.0; seed=2646. || TYPE: Random Graphs"
culberson100.zip,4453,14501,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 13185 || No hidden coloring || Probability: 0.769218 || girth/degree-limited graph, girth 8, delta 1076, max 1311 || Degree Information: || Min:4 Avg:6.512913 Max:14 Std:1.050756 || No verification required. || Creation Date: Mon Apr 11 19:06:36 2016 || Weight distribution parameters: a=0.0; b=83.0; seed=1810. || TYPE: Random Graphs"
culberson101.zip,2638,6339,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 17549 || No hidden coloring || Probability: 0.631260 || girth/degree-limited graph, girth 9, delta 594, max 1825 || Degree Information: || Min:2 Avg:4.805914 Max:10 Std:1.057238 || No verification required. || Creation Date: Mon Apr 11 23:25:51 2016 || Weight distribution parameters: alpha=19.3201141417; beta=1.05352063064; seed=15016. || TYPE: Random Graphs"
culberson102.zip,2458,9074,"NAME: Culberson graph. Specifications given below. Weights computed via the log normal distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 13766 || No hidden coloring || Probability: 0.123349 || girth/degree-limited graph, girth 7, delta 1040, max 1320 || Degree Information: || Min:4 Avg:7.383238 Max:13 Std:1.194813 || No verification required. || Creation Date: Mon Apr 11 21:30:12 2016 || Weight distribution parameters: mu=-18.5500980332; sigma=0.917654984053; seed=17313. || TYPE: Random Graphs"
culberson103.zip,1406,6955,"NAME: Culberson graph. Specifications given below. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 11220 || No hidden coloring || Probability: 0.192617 || girth/degree-limited graph, girth 6, delta 516, max 750 || Degree Information: || Min:6 Avg:9.893314 Max:14 Std:1.311400 || No verification required. || Creation Date: Mon Apr 11 22:40:57 2016 || Weight distribution parameters: alpha=0.703438686341; seed=5295. || TYPE: Random Graphs"
culberson104.zip,1077,2258,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 7174 || No hidden coloring || Probability: 0.568448 || girth/degree-limited graph, girth 9, delta 524, max 701 || Degree Information: || Min:2 Avg:4.193129 Max:8 Std:1.049309 || No verification required. || Creation Date: Tue Apr 12 02:01:19 2016 || Weight distribution parameters: a=-8.0; b=16.0; seed=14605. || TYPE: Random Graphs"
culberson105.zip,3361,10346,"NAME: Culberson graph. Specifications given below. Weights computed via the log normal distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 2720 || No hidden coloring || Probability: 0.507943 || girth/degree-limited graph, girth 8, delta 1045, max 2230 || Degree Information: || Min:3 Avg:6.156501 Max:12 Std:1.053420 || No verification required. || Creation Date: Tue Apr 12 02:11:53 2016 || Weight distribution parameters: mu=-10.3768136283; sigma=2.72879547072; seed=6261. || TYPE: Random Graphs"
culberson106.zip,3237,7964,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 9400 || No hidden coloring || Probability: 0.391140 || girth/degree-limited graph, girth 9, delta 1573, max 2169 || Degree Information: || Min:2 Avg:4.920605 Max:12 Std:1.080423 || No verification required. || Creation Date: Mon Apr 11 22:44:45 2016 || Weight distribution parameters: alpha=8.32694385535; beta=15.9750271635; seed=14935. || TYPE: Random Graphs"
culberson107.zip,4977,21941,"NAME: Culberson graph. Specifications given below. Weights computed via the beta distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 3630 || No hidden coloring || Probability: 0.274492 || girth/degree-limited graph, girth 7, delta 2044, max 2732 || Degree Information: || Min:5 Avg:8.816958 Max:16 Std:1.175246 || No verification required. || Creation Date: Mon Apr 11 23:23:39 2016 || Weight distribution parameters: alpha=2.0; beta=6.0; seed=13577. || TYPE: Random Graphs"
culberson108.zip,4456,19594,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform integer distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 17405 || No hidden coloring || Probability: 0.746134 || girth/degree-limited graph, girth 7, delta 1485, max 1567 || Degree Information: || Min:6 Avg:8.794434 Max:15 Std:1.064114 || No verification required. || Creation Date: Mon Apr 11 21:15:07 2016 || Weight distribution parameters: a=3.0; b=91.0; seed=1915. || TYPE: Random Graphs"
culberson11.zip,3152,7666,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 19102 || No hidden coloring || Probability: 0.228908 || girth/degree-limited graph, girth 9, delta 585, max 2148 || Degree Information: || Min:2 Avg:4.864213 Max:10 Std:1.108041 || No verification required. || Creation Date: Mon Apr 11 21:35:02 2016 || Weight distribution parameters: alpha=6.48812514671; beta=13.2028563927; seed=10564. || TYPE: Random Graphs"
culberson12.zip,3152,7666,"NAME: Culberson graph. Specifications given below. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 19102 || No hidden coloring || Probability: 0.228908 || girth/degree-limited graph, girth 9, delta 585, max 2148 || Degree Information: || Min:2 Avg:4.864213 Max:10 Std:1.108041 || No verification required. || Creation Date: Mon Apr 11 21:35:02 2016 || Weight distribution parameters: alpha=0.303239198436; seed=9986. || TYPE: Random Graphs"
culberson13.zip,3639,3429873,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform integer distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 10666 || No hidden coloring || Probability: 0.518181 || girth/degree-limited graph, girth 3, delta 1686, max 1688 || Degree Information: || Min:1787 Avg:1885.063479 Max:1994 Std:30.471212 || No verification required. || Creation Date: Mon Apr 11 23:32:01 2016 || Weight distribution parameters: a=-9.0; b=13.0; seed=6861. || TYPE: Random Graphs"
culberson14.zip,4220,9330,"NAME: Culberson graph. Specifications given below. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 1213 || No hidden coloring || Probability: 0.724908 || girth/degree-limited graph, girth 10, delta 642, max 1862 || Degree Information: || Min:2 Avg:4.421801 Max:10 Std:1.055475 || No verification required. || Creation Date: Mon Apr 11 21:09:01 2016 || Weight distribution parameters: alpha=0.0584603849641; seed=16963. || TYPE: Random Graphs"
culberson15.zip,4878,21716,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 13314 || No hidden coloring || Probability: 0.503892 || girth/degree-limited graph, girth 7, delta 2327, max 3295 || Degree Information: || Min:6 Avg:8.903649 Max:14 Std:1.108201 || No verification required. || Creation Date: Mon Apr 11 21:18:22 2016 || Weight distribution parameters: alpha=4.02484007706; beta=5.3551298433; seed=5112. || TYPE: Random Graphs"
culberson16.zip,2767,16834,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 2517 || No hidden coloring || Probability: 0.267863 || girth/degree-limited graph, girth 6, delta 1194, max 1446 || Degree Information: || Min:8 Avg:12.167691 Max:20 Std:1.288266 || No verification required. || Creation Date: Tue Apr 12 08:47:15 2016 || Weight distribution parameters: a=-10.0; b=16.0; seed=9151. || TYPE: Random Graphs"
culberson17.zip,2767,16834,"NAME: Culberson graph. Specifications given below. Weights computed via the log normal distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 2517 || No hidden coloring || Probability: 0.267863 || girth/degree-limited graph, girth 6, delta 1194, max 1446 || Degree Information: || Min:8 Avg:12.167691 Max:20 Std:1.288266 || No verification required. || Creation Date: Tue Apr 12 09:05:49 2016 || Weight distribution parameters: mu=13.5257725482; sigma=6.57117590953; seed=14138. || TYPE: Random Graphs"
culberson18.zip,2106,24504,"NAME: Culberson graph. Specifications given below. Weights computed via the beta distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 18942 || No hidden coloring || Probability: 0.779421 || girth/degree-limited graph, girth 5, delta 790, max 1878 || Degree Information: || Min:19 Avg:23.270655 Max:29 Std:1.461069 || No verification required. || Creation Date: Mon Apr 11 19:07:44 2016 || Weight distribution parameters: alpha=9.0; beta=5.0; seed=14290. || TYPE: Random Graphs"
culberson19.zip,1203,3102,"NAME: Culberson graph. Specifications given below. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 19679 || No hidden coloring || Probability: 0.658522 || girth/degree-limited graph, girth 8, delta 348, max 1000 || Degree Information: || Min:3 Avg:5.157107 Max:9 Std:1.032033 || No verification required. || Creation Date: Tue Apr 12 00:58:34 2016 || Weight distribution parameters: alpha=0.0584603849641; seed=16963. || TYPE: Random Graphs"
culberson2.zip,3048,7419,"NAME: Culberson graph. Specifications given below. Weights computed via the triangular distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 10246 || No hidden coloring || Probability: 0.381818 || girth/degree-limited graph, girth 9, delta 867, max 1282 || Degree Information: || Min:2 Avg:4.868110 Max:11 Std:1.085423 || No verification required. || Creation Date: Mon Apr 11 21:19:05 2016 || Weight distribution parameters: low=-8.0; high=73.0; mode=55.8025245854; seed=6483. || TYPE: Random Graphs"
culberson20.zip,4438,14301,"NAME: Culberson graph. Specifications given below. Weights computed via the -1 with probability p and 1 with probability 1-p distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 7106 || No hidden coloring || Probability: 0.512078 || girth/degree-limited graph, girth 8, delta 1838, max 3256 || Degree Information: || Min:4 Avg:6.444795 Max:13 Std:1.082031 || No verification required. || Creation Date: Tue Apr 12 00:58:24 2016 || Weight distribution parameters: alpha=0.301229797008; seed=4203. || TYPE: Random Graphs"
culberson21.zip,4332,18950,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 16161 || No hidden coloring || Probability: 0.748518 || girth/degree-limited graph, girth 7, delta 1256, max 3160 || Degree Information: || Min:6 Avg:8.748846 Max:15 Std:1.074203 || No verification required. || Creation Date: Tue Apr 12 01:03:23 2016 || Weight distribution parameters: alpha=4.02484007706; beta=5.3551298433; seed=5112. || TYPE: Random Graphs"
culberson22.zip,3732,25386,"NAME: Culberson graph. Specifications given below. Weights computed via the constant distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 14436 || No hidden coloring || Probability: 0.639472 || girth/degree-limited graph, girth 6, delta 1287, max 3282 || Degree Information: || Min:10 Avg:13.604502 Max:19 Std:1.194872 || No verification required. || Creation Date: Mon Apr 11 19:11:37 2016 || Weight distribution parameters: alpha=4.0; seed=18348. || TYPE: Random Graphs"
culberson23.zip,4748,34309,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 5962 || No hidden coloring || Probability: 0.529932 || girth/degree-limited graph, girth 6, delta 1885, max 2644 || Degree Information: || Min:11 Avg:14.451980 Max:21 Std:1.236558 || No verification required. || Creation Date: Mon Apr 11 19:23:55 2016 || Weight distribution parameters: alpha=8.32694385535; beta=15.9750271635; seed=14935. || TYPE: Random Graphs"
culberson24.zip,3105,12136,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform integer distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 16849 || No hidden coloring || Probability: 0.135473 || girth/degree-limited graph, girth 7, delta 728, max 1497 || Degree Information: || Min:5 Avg:7.817069 Max:13 Std:1.211605 || No verification required. || Creation Date: Mon Apr 11 23:27:16 2016 || Weight distribution parameters: a=1.0; b=41.0; seed=16466. || TYPE: Random Graphs"
culberson25.zip,2000,3956,"NAME: Culberson graph. Specifications given below. Weights computed via the pareto distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 13191 || No hidden coloring || Probability: 0.269005 || girth/degree-limited graph, girth 10, delta 803, max 1724 || Degree Information: || Min:2 Avg:3.956000 Max:11 Std:1.106374 || No verification required. || Creation Date: Mon Apr 11 21:53:49 2016 || Weight distribution parameters: alpha=2.38786921151; seed=8127. || TYPE: Random Graphs"
culberson26.zip,4997,11279,"NAME: Culberson graph. Specifications given below. Weights computed via the pareto distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 14033 || No hidden coloring || Probability: 0.718816 || girth/degree-limited graph, girth 10, delta 1188, max 3572 || Degree Information: || Min:2 Avg:4.514309 Max:11 Std:1.063543 || No verification required. || Creation Date: Tue Apr 12 09:30:24 2016 || Weight distribution parameters: alpha=3.2100332595; seed=15446. || TYPE: Random Graphs"
culberson27.zip,3246,8065,"NAME: Culberson graph. Specifications given below. Weights computed via the weibull distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 8093 || No hidden coloring || Probability: 0.739115 || girth/degree-limited graph, girth 9, delta 1368, max 1764 || Degree Information: || Min:2 Avg:4.969193 Max:12 Std:1.035851 || No verification required. || Creation Date: Mon Apr 11 21:07:56 2016 || Weight distribution parameters: alpha=6.48812514671; beta=13.2028563927; seed=10564. || TYPE: Random Graphs"
culberson28.zip,1296,2438,"NAME: Culberson graph. Specifications given below. Weights computed via the pareto distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 15296 || No hidden coloring || Probability: 0.413409 || girth/degree-limited graph, girth 10, delta 386, max 620 || Degree Information: || Min:2 Avg:3.762346 Max:8 Std:1.045568 || No verification required. || Creation Date: Mon Apr 11 19:12:16 2016 || Weight distribution parameters: alpha=3.2100332595; seed=15446. || TYPE: Random Graphs"
culberson29.zip,1265,267102,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform integer distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 4513 || No hidden coloring || Probability: 0.333940 || girth/degree-limited graph, girth 3, delta 161, max 910 || Degree Information: || Min:366 Avg:422.295652 Max:474 Std:16.942391 || No verification required. || Creation Date: Mon Apr 11 19:53:51 2016 || Weight distribution parameters: a=-7.0; b=90.0; seed=11103. || TYPE: Random Graphs"
culberson3.zip,1635,5717,"NAME: Culberson graph. Specifications given below. Weights computed via the uniform integer distribution. || COMMENT: DESCRIPTION: Quasi-random coloring problem || CODE SOURCE: Joseph Culberson (joe@cs.ualberta.ca) || Specifications: || Random seed: 4828 || No hidden coloring || Probability: 0.491184 || girth/degree-limited graph, girth 7, delta 629, max 861 || Degree Information: || Min:4 Avg:6.993272 Max:13 Std:1.129240 || No verification required. || Creation Date: Mon Apr 11 19:42:37 2016 || Weight distribution parameters: a=7.0; b=45.0; seed=14748. || TYPE: Random Graphs"
